SEMANA_DIAG,AHUMADA,ALDAMA,ALLENDE,AQUILES SERDÁN,ASCENSIÓN,BACHÍNIVA,BALLEZA,BATOPILAS DE MANUEL GÓMEZ MORÍN,BOCOYNA,BUENAVENTURA,CAMARGO,CARICHÍ,CASAS GRANDES,CHIHUAHUA,CORONADO,CUAUHTÉMOC,CUSIHUIRIACHI,DELICIAS,GALEANA,GRAN MORELOS,GUACHOCHI,GUADALUPE Y CALVO,GUAZAPARES,GUERRERO,GÓMEZ FARÍAS,HIDALGO DEL PARRAL,JANOS,JIMÉNEZ,JULIMES,JUÁREZ,LA CRUZ,LÓPEZ,MADERA,MEOQUI,MORELOS,NAMIQUIPA,NONOAVA,NUEVO CASAS GRANDES,OCAMPO,OJINAGA,PRAXEDIS G. GUERRERO,RIVA PALACIO,ROSALES,SAN FRANCISCO DE BORJA,SAN FRANCISCO DE CONCHOS,SANTA ISABEL,SAUCILLO,TEMÓSACHIC,URIQUE,URUACHI
2025-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2025-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2025-03-17,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2025-03-24,8,0,0,0,0,2,0,0,0,1,0,0,0,10,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2025-03-31,7,0,0,0,1,2,0,0,0,1,1,0,0,18,0,61,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,7,0,0,0,0,0,0,0,0
2025-04-07,12,0,0,0,1,7,0,0,1,2,0,0,0,36,0,106,0,1,1,0,0,0,0,2,0,2,1,0,0,7,0,0,0,0,0,10,0,1,2,7,0,7,0,0,0,1,0,0,0,0
2025-04-14,8,5,0,0,5,0,0,0,1,1,0,0,0,24,0,81,0,2,0,0,0,0,1,1,0,1,3,0,0,2,0,0,0,0,0,4,0,3,0,11,0,7,0,0,0,0,0,0,0,0
2025-04-21,10,3,0,0,6,4,0,0,2,0,0,3,1,31,0,128,0,1,0,1,3,0,2,3,0,1,2,0,0,1,0,0,0,0,0,7,0,6,0,4,0,6,1,0,0,0,0,0,0,0
2025-04-28,7,2,0,1,2,4,0,0,2,1,0,1,0,39,0,138,2,2,0,0,1,0,1,1,0,1,0,1,1,2,0,0,1,0,1,3,0,11,0,5,0,3,0,0,0,0,0,0,1,0
2025-05-05,12,0,0,0,5,1,0,0,0,1,0,1,2,45,0,98,3,0,1,0,1,0,0,5,0,1,5,1,0,9,0,0,0,0,1,6,0,39,0,4,0,1,0,1,0,1,0,0,0,0
2025-05-12,14,1,0,0,5,3,0,0,10,5,0,2,6,62,0,151,0,0,1,1,4,0,0,3,0,2,2,0,0,10,0,0,1,0,0,2,0,46,0,7,0,4,0,0,0,0,0,0,1,0
2025-05-19,8,1,0,0,3,2,0,1,3,2,0,5,5,67,0,96,0,0,0,2,8,2,1,2,0,0,2,1,0,8,0,0,0,1,0,3,1,18,0,15,0,2,0,0,0,0,0,0,1,0
2025-05-26,12,0,0,0,3,0,0,0,0,0,0,2,3,41,0,61,2,0,1,0,3,0,1,0,0,0,1,1,0,9,0,0,0,3,0,1,0,14,0,11,0,0,1,0,1,1,0,0,0,0
2025-06-02,4,1,0,0,1,0,0,2,1,3,0,3,0,36,0,48,1,0,0,0,2,5,0,2,0,1,0,2,0,3,0,0,1,2,0,1,0,13,0,11,0,1,0,0,0,0,0,0,0,0
2025-06-09,3,1,0,0,0,1,1,0,1,3,0,1,2,42,0,49,1,0,2,0,6,0,1,4,0,1,0,0,0,7,0,0,0,4,3,0,1,12,0,26,0,0,2,0,0,0,0,0,1,0
2025-06-16,3,0,1,1,1,2,0,0,5,5,1,4,1,37,0,46,3,0,0,0,15,1,1,11,0,0,0,1,0,9,0,0,0,7,0,0,2,7,0,9,0,0,0,0,0,1,0,1,0,0
2025-06-23,0,0,0,0,1,7,0,5,14,15,5,21,0,47,0,63,2,4,1,1,12,0,0,7,1,0,0,0,0,6,0,0,0,1,2,1,0,10,0,2,0,0,0,0,0,0,1,0,1,0
2025-06-30,0,1,0,0,1,2,1,0,6,12,1,15,0,31,0,54,5,0,0,0,17,5,0,3,0,1,1,1,0,15,0,2,0,1,0,2,1,14,0,7,0,0,1,0,0,0,0,0,2,0
2025-07-07,0,1,0,1,1,0,0,2,3,0,10,6,1,28,0,46,6,3,0,0,24,0,0,13,0,0,2,0,0,4,0,0,1,1,0,9,0,2,0,13,0,0,0,0,0,1,3,0,1,0
2025-07-14,2,1,1,0,0,0,0,5,13,0,11,4,0,42,0,19,0,1,1,0,30,1,0,9,0,0,0,0,0,3,0,1,0,0,0,7,0,1,0,18,0,0,3,0,0,1,2,0,5,0
2025-07-21,0,0,2,0,1,0,1,1,1,1,17,8,1,27,0,26,1,16,1,0,13,2,1,7,0,1,2,2,0,8,0,0,2,0,0,8,0,3,0,11,0,0,0,0,0,0,2,0,0,1
2025-07-28,0,0,0,0,1,0,0,6,2,0,12,1,0,28,0,20,0,12,0,0,15,5,0,10,0,0,0,1,0,1,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,3,2,0,4,0
2025-08-04,0,2,0,0,5,0,0,1,1,0,7,5,0,16,0,11,0,19,0,0,8,1,0,3,0,0,2,5,0,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,1,0,3,0
2025-08-11,2,0,0,0,5,0,0,2,1,0,11,1,0,43,0,11,0,15,0,1,7,6,0,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,0
2025-08-18,1,1,0,1,7,0,0,6,2,1,15,0,0,19,0,8,0,5,0,0,13,1,0,5,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
2025-08-25,0,0,0,0,1,0,0,0,1,1,19,0,0,20,0,3,0,21,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-01,0,0,0,0,0,0,2,0,1,0,6,0,0,21,1,12,0,6,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,4,0,0,0,1,0
2025-09-08,0,0,0,0,2,2,0,3,1,0,10,3,0,12,0,8,0,25,0,0,1,2,0,0,0,0,0,12,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,2,0,0,0
2025-09-15,0,6,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,6,0,0,2,1,0,1,0,0,2,8,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,6,0,0,0,0,0
2025-09-22,1,0,0,0,2,0,5,0,0,0,4,0,0,7,0,0,0,5,0,0,5,8,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,1,0,0,1,0
2025-09-29,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,2,0,2,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
2025-10-06,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
2025-10-13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-10-20,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,9,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-10-27,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2025-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-17,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2025-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2025-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-15,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2025-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-02,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
